 ! Swift/XRT detailed lightcurve of trigger: 1088940, name: GRB 211211A
 ! T0 for this burst is Swift MET=660921027.84 s, = 2021 Dec 11 at 13:09:59.602 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: GRB-like (counts)
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
237.1504	0.4121	-0.3351	6.752633e+01	1.006760e+01	-1.006899e+01	0.000000e+00	0.000000e+00	1.000000
237.9612	0.3664	-0.3987	6.501366e+01	9.878164e+00	-9.879484e+00	8.391366e-01	8.391366e-01	1.000000
238.863	0.561	-0.535	4.538383e+01	6.895483e+00	-6.896303e+00	5.857727e-01	5.857727e-01	1.000000
239.8256	0.3718	-0.4021	6.426719e+01	9.764523e+00	-9.765652e+00	8.295018e-01	8.295018e-01	1.000000
240.6632	0.5199	-0.4657	5.046235e+01	7.667136e+00	-7.668080e+00	6.513216e-01	6.513216e-01	1.000000
241.6171	0.3861	-0.4340	6.152186e+01	9.172373e+00	-9.173620e+00	0.000000e+00	0.000000e+00	1.000000
242.583	0.497	-0.579	4.620899e+01	7.020857e+00	-7.021694e+00	5.964231e-01	5.964231e-01	1.000000
243.4721	0.4490	-0.3925	5.824916e+01	9.020697e+00	-9.021657e+00	1.525735e+00	1.078857e+00	1.000000
244.431	0.631	-0.510	4.424435e+01	6.596413e+00	-6.597283e+00	0.000000e+00	0.000000e+00	1.000000
245.6546	0.4016	-0.5930	4.935182e+01	7.643063e+00	-7.644071e+00	1.291001e+00	9.128755e-01	1.000000
246.5285	0.4724	-0.4724	5.348100e+01	7.973450e+00	-7.974453e+00	0.000000e+00	0.000000e+00	1.000000
247.4913	0.4240	-0.4905	5.524946e+01	8.237332e+00	-8.238544e+00	0.000000e+00	0.000000e+00	1.000000
248.4843	0.4131	-0.5689	5.071176e+01	7.705271e+00	-7.706405e+00	6.536884e-01	6.536884e-01	1.000000
249.3169	0.4327	-0.4195	5.843994e+01	8.879457e+00	-8.880724e+00	7.533067e-01	7.533067e-01	1.000000
250.2398	0.4706	-0.4902	5.108762e+01	7.911789e+00	-7.912756e+00	1.336408e+00	9.449832e-01	1.000000
251.253	0.573	-0.543	4.399962e+01	6.814030e+00	-6.814815e+00	1.150992e+00	8.138742e-01	1.000000
252.427	0.516	-0.601	4.393034e+01	6.803427e+00	-6.804310e+00	1.149180e+00	8.125928e-01	1.000000
253.511	0.628	-0.568	4.165609e+01	6.329220e+00	-6.330067e+00	5.369583e-01	5.369583e-01	1.000000
254.612	0.763	-0.474	4.027722e+01	6.119674e+00	-6.120460e+00	5.191844e-01	5.191844e-01	1.000000
255.8405	0.3958	-0.4653	5.866970e+01	8.746856e+00	-8.747816e+00	0.000000e+00	0.000000e+00	1.000000
256.973	0.735	-0.737	3.433560e+01	5.119047e+00	-5.119669e+00	0.000000e+00	0.000000e+00	1.000000
258.327	0.622	-0.620	4.068185e+01	6.065091e+00	-6.065740e+00	0.000000e+00	0.000000e+00	1.000000
259.619	0.718	-0.670	3.588473e+01	5.452196e+00	-5.452827e+00	4.626044e-01	4.626044e-01	1.000000
260.910	0.665	-0.573	4.021616e+01	6.110315e+00	-6.111037e+00	5.184425e-01	5.184425e-01	1.000000
262.321	0.681	-0.746	3.540629e+01	5.278684e+00	-5.279335e+00	0.000000e+00	0.000000e+00	1.000000
